P	V
0.023825133	261.47842
0.048920535	306.6784
0.07251931	333.0675
0.10023934	355.70554
0.12496236	378.33606
0.14968576	397.20514
0.17440934	414.19354
0.2002568	431.18475
0.22385669	446.2896
0.24970348	470.05136
0.2742777	482.14954
0.29945087	498.7629
0.3252227	522.90063
0.34859768	539.50946
0.3749689	563.6487
0.39924282	581.7644
0.42471495	605.9013
0.44838932	625.5201
0.47356248	642.1335
0.49843475	670.7826
0.523607	696.4234
0.5496787	719.0573
0.5739514	749.20953
0.5997225	780.87006
0.6227963	812.52386
0.6488669	845.6897
0.6722393	888.127
0.6807299	896.9249
0.6992082	929.57025
0.70994425	962.19617
0.7209302	992.31506
0.72966886	1018.6669
0.7376578	1050.0321
0.7486428	1090.1814
0.77434075	1354.7991
0.78977835	1826.269
0.79873157	2206.195
0.80869895	2433.159
0.82385117	2545.8604
0.8499597	2628.6772
0.87521636	2666.3547
0.8994045	2685.7598
0.9244491	2704.0923
0.9488512	2724.5728
0.9751801	2743.9832
0.99337476	2757.9998
