p/p0,relative_desorption
2.97899181059e-21,0.0132741618656
0.00015977407463,0.0257956918576
0.0396421459398,0.0382108392477
0.202358511806,0.0505200578787
0.393381756047,0.0627238015931
0.545063260916,0.0748225242334
0.65291019147,0.0868166796424
0.727984989172,0.0987067216626
0.780703249418,0.110493104137
0.818408442789,0.122176280907
0.845937625447,0.133756705816
0.866444795969,0.145234832707
0.882007005432,0.156611115423
0.894015808474,0.167886007805
0.903421794321,0.179059963697
0.910887131611,0.19013343694
0.916881794573,0.201106881378
0.921745251002,0.211980750854
0.925726722791,0.222755499209
0.929011942429,0.233431580287
0.929011942429,0.233431580287
0.929011942429,0.34821008547
0.929011942429,0.450918407049
0.929011942429,0.542227110782
0.929011942429,0.622806762425
0.929011942429,0.693327927731
0.929011942429,0.754461172458
0.929011942429,0.806877062361
0.929011942429,0.851246163196
0.929011942429,0.888239040718
0.929011942429,0.918526260684
0.929011942429,0.942778388848
0.929011942429,0.961665990966
0.929011942429,0.975859632795
0.929011942429,0.98602988009
0.929011942429,0.992847298606
0.929011942429,0.996982454099
0.929011942429,0.999105912326
0.929011942429,0.999888239041
0.929011942429,1.0
0.929011942429,1.0
0.936899504381,1.0
0.944787066333,1.0
0.952674628286,1.0
0.960562190238,1.0
0.96844975219,1.0
0.976337314143,1.0
0.984224876095,1.0
0.992112438048,1.0
1.0,1.0
