# p_rel	p_abs_kPA	Q_cm3_per_g_STP	time
0.99833485	101.7528535	156.6042269	nan
0.993129792	101.2225422	155.952867	nan
0.987987867	100.6986349	155.8760669	nan
0.982794505	100.1694547	155.8004472	nan
0.980202322	99.90542199	155.7611118	nan
0.97525972	99.4018256	155.676396	nan
0.970223965	98.88873291	155.5662359	nan
0.960286061	97.87610436	155.1652655	nan
0.950289644	96.85747858	154.5697484	nan
0.948063996	96.63079633	154.2758102	nan
0.946742272	96.4964649	153.0706841	nan
0.944803863	96.30338177	139.4845472	nan
0.942567904	96.08181791	111.6022726	nan
0.940268285	95.85809765	87.49731885	nan
0.938394764	95.67416905	78.50939472	nan
0.936286498	95.48700992	69.8806877	nan
0.935304644	95.39618078	66.51860431	nan
0.934278531	95.299745	63.80625112	nan
0.933342707	95.2114303	61.53719713	nan
0.932411158	95.1097378	59.26414525	nan
0.932032742	95.06708179	58.16658657	nan
0.930903815	94.9445658	55.58672453	nan
0.929686719	94.81270812	53.52069318	nan
0.929212728	94.76106034	52.64273275	nan
0.927663703	94.59538382	50.37583442	nan
0.927080257	94.53258786	49.60241	nan
0.926298934	94.44925322	48.61289659	nan
0.924881643	94.29863081	46.7354693	nan
0.923186524	94.11916962	44.86349314	nan
0.922723049	94.06939342	44.23144232	nan
0.921653666	93.95722001	43.20051465	nan
0.920947731	93.8821041	42.47436174	nan
0.918701352	93.64776459	40.44167681	nan
0.916339439	93.40104817	38.64738961	nan
0.915156273	93.27731971	37.78871002	nan
0.912400341	92.99217057	35.92221102	nan
0.910130884	92.75861225	34.46036978	nan
0.908843004	92.62610358	33.55958436	nan
0.906020018	92.33590114	31.65826514	nan
0.904433541	92.17309711	30.85501807	nan
0.902677988	91.9930663	30.09062522	nan
0.900758083	91.79616676	29.25546651	nan
0.898684879	91.58377369	28.34543112	nan
0.896525399	91.36247023	27.49629165	nan
0.894544079	91.1594514	26.7506077	nan
0.892609105	90.96116036	25.97316039	nan
0.890442247	90.74089034	25.17227678	nan
0.88819713	90.51280846	24.42335492	nan
0.886131073	90.30297053	23.77459805	nan
0.884036382	90.09021128	23.16265682	nan
0.881917498	89.87490504	22.64413066	nan
0.880265087	89.70705585	22.25476401	nan
0.877781987	89.45462701	21.77148325	nan
0.876345495	89.30869985	21.50310157	nan
0.873784482	89.04824758	21.14030648	nan
0.872454144	88.91313496	20.95844471	nan
0.869912906	88.65469261	20.68819523	nan
0.860539305	87.7	19.8315536	nan
0.850136784	86.64046977	19.02991067	nan
0.840475461	85.65637078	18.37161433	nan
0.830288476	84.61876056	17.74436223	nan
0.820190646	83.59	17.17921366	nan
0.810078125	82.56438802	16.66262952	nan
0.800134107	81.55540501	16.20205025	nan
0.774831089	78.98146244	15.17402383	nan
0.75001709	76.45650675	14.3221043	nan
0.725258767	73.93675895	13.59167157	nan
0.700268913	71.39263165	12.93646238	nan
0.675108774	68.83089512	12.35128689	nan
0.650104234	66.28531123	11.82356207	nan
0.625084414	63.73736344	11.34432628	nan
0.599888394	61.17120018	10.89764819	nan
0.574918374	58.62783372	10.48878965	nan
0.550118707	56.10159233	10.10320807	nan
0.525126407	53.55545917	9.740941546	nan
0.499967672	50.9921033	9.393721919	nan
0.475091893	48.45735836	9.064738207	nan
0.449902615	45.89038951	8.747714738	nan
0.424552608	43.3067757	8.436353964	nan
0.399722262	40.77724274	8.137022819	nan
0.374620195	38.21710113	7.835733223	nan
0.34961434	35.66611404	7.544130118	nan
0.324681731	33.12259907	7.254543439	nan
0.299765592	30.58076447	6.96183085	nan
0.275238432	28.07861167	6.661380114	nan
0.249777693	25.48121929	6.341549683	nan
0.224499199	22.90241872	6.010717194	nan
0.199540106	20.35620216	5.660736733	nan
0.149727731	15.27456322	4.882164217	nan
0.099978621	10.19937822	3.924716436	nan
